City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Takaka,NZ,-40.85,172.8,61.56,59,0,3.0,clear sky
171,Whitianga,NZ,-36.8333,175.7,60.57,87,9,2.53,clear sky
172,Asau,RO,46.4333,26.4,33.28,92,100,1.5,light snow
173,Broken Hill,AU,-31.95,141.4333,58.8,57,0,5.84,clear sky
174,Abong Mbang,CM,3.9833,13.1833,75.29,65,79,3.36,broken clouds
175,Cedar City,US,37.6775,-113.0619,57.4,37,0,3.44,clear sky
176,Mahebourg,MU,-20.4081,57.7,79.25,83,75,11.5,broken clouds
177,Bourail,NC,-21.5667,165.4833,77.47,91,100,4.52,overcast clouds
178,Shumskiy,RU,54.8318,99.1328,24.67,95,100,2.1,light snow
179,Airai,TL,-8.9266,125.4092,57.18,78,24,1.12,few clouds
180,Anchorage,US,61.2181,-149.9003,39.27,62,0,4.61,clear sky
181,Rairangpur,IN,22.2676,86.1751,78.01,79,5,6.11,clear sky
182,Boca Do Acre,BR,-8.7522,-67.3978,90.99,46,63,0.6,broken clouds
183,Diego De Almagro,CL,-26.3667,-70.05,80.31,15,0,13.96,clear sky
184,Tanout,NE,14.9709,8.8879,87.87,2,99,7.74,overcast clouds
185,Bara,NG,10.3744,10.7288,88.92,8,100,6.35,overcast clouds
186,Lavrentiya,RU,65.5833,-171.0,-9.98,91,33,10.54,scattered clouds
187,Huntsville,US,34.7304,-86.5861,66.15,31,0,10.36,clear sky
188,Batticaloa,LK,7.7102,81.6924,79.65,80,1,4.88,clear sky
189,Moctezuma,MX,29.8,-109.6667,81.99,14,14,11.92,few clouds
190,Camacupa,AO,-12.0167,17.4833,63.28,92,100,6.73,overcast clouds
191,Pangnirtung,CA,66.1451,-65.7125,23.0,86,100,3.44,overcast clouds
192,Burnie,AU,-41.0667,145.9167,58.87,74,64,2.93,broken clouds
193,Luderitz,NA,-26.6481,15.1594,60.91,88,0,6.38,clear sky
194,Bambous Virieux,MU,-20.3428,57.7575,79.21,83,75,11.5,broken clouds
195,Alice Springs,AU,-23.7,133.8833,51.35,54,0,0.0,clear sky
196,Cayenne,GF,4.9333,-52.3333,83.08,1,75,11.5,broken clouds
197,Pinos,MX,22.3,-101.5667,74.37,10,100,11.14,overcast clouds
198,Nantucket,US,41.2835,-70.0995,48.31,75,100,10.36,overcast clouds
199,Batagay-Alyta,RU,67.8006,130.4114,-1.59,99,98,3.49,overcast clouds
200,Walvis Bay,NA,-22.9575,14.5053,59.09,88,0,4.61,clear sky
201,Xuddur,SO,4.1213,43.8894,85.35,32,34,9.4,scattered clouds
202,Kidal,ML,18.4411,1.4078,93.99,7,1,6.11,clear sky
203,Severnyy,RU,50.677,36.5532,33.84,86,75,8.95,broken clouds
204,Caxito,AO,-8.5785,13.6643,76.75,86,83,3.98,broken clouds
205,Pisco,PE,-13.7,-76.2167,73.45,64,0,18.41,clear sky
206,Ca Mau,VN,9.1769,105.15,77.43,82,100,8.63,overcast clouds
207,Thompson,CA,55.7435,-97.8558,37.56,48,100,11.5,overcast clouds
208,Prince Rupert,CA,54.3161,-130.3201,42.89,70,75,26.46,broken clouds
209,Bonthe,SL,7.5264,-12.505,80.35,74,16,10.18,light rain
210,Santa Helena De Goias,BR,-17.8136,-50.5969,85.39,52,47,1.12,scattered clouds
211,Weyburn,CA,49.6668,-103.8511,44.82,53,72,4.61,broken clouds
212,Gold Coast,AU,-28.0,153.4333,70.25,90,40,5.75,scattered clouds
213,Wattegama,LK,6.7989,81.4808,74.32,92,0,0.94,clear sky
214,Luanda,AO,-8.8368,13.2343,80.6,74,75,10.36,broken clouds
215,Iracoubo,GF,5.4802,-53.2011,80.13,85,38,11.18,scattered clouds
216,San Vicente,AR,-26.6167,-54.1333,78.94,58,100,4.16,overcast clouds
217,Kungurtug,RU,50.5994,97.5228,27.16,89,99,3.6,overcast clouds
218,Oytal,KZ,42.9057,73.2697,56.19,41,3,6.96,clear sky
