City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Beringovskiy,RU,2022-04-03 17:57:20,63.05,179.3167,-9.6,93,85,13.85
136,Kailua,US,2022-04-03 17:57:20,21.4022,-157.7394,77.65,67,99,7.0
137,Saint-Philippe,RE,2022-04-03 17:52:31,-21.3585,55.7679,74.79,91,99,15.73
138,Penha,BR,2022-04-03 17:57:22,-26.7694,-48.6458,75.07,78,75,4.61
139,Iqaluit,CA,2022-04-03 17:52:42,63.7506,-68.5145,26.33,86,75,23.02
140,Vila Velha,BR,2022-04-03 17:57:22,-20.3297,-40.2925,87.75,75,40,10.36
141,Vanavara,RU,2022-04-03 17:57:23,60.34,102.2797,1.71,97,57,3.91
142,Sitka,US,2022-04-03 17:56:22,57.0531,-135.33,37.9,98,100,15.59
143,Oros,BR,2022-04-03 17:57:24,-6.2444,-38.9136,94.32,34,28,7.74
144,Lakes Entrance,AU,2022-04-03 17:56:34,-37.8811,147.981,58.15,93,100,22.46
145,Faanui,PF,2022-04-03 17:57:24,-16.4833,-151.75,81.32,77,23,9.51
146,Yichun,CN,2022-04-03 17:57:25,47.7,128.9,40.23,61,4,9.98
147,Mangan,IN,2022-04-03 17:57:25,27.5167,88.5333,70.59,83,100,1.48
148,Nabire,ID,2022-04-03 17:57:25,-3.3667,135.4833,75.42,87,72,2.93
149,Provideniya,RU,2022-04-03 17:57:26,64.3833,-173.3,-0.22,79,0,8.55
150,Saquarema,BR,2022-04-03 17:57:26,-22.92,-42.5103,84.34,86,39,8.68
151,Castro,BR,2022-04-03 17:57:27,-24.7911,-50.0119,73.06,70,93,6.17
152,Severo-Kurilsk,RU,2022-04-03 17:57:27,50.6789,156.125,29.66,86,23,12.26
153,Bonavista,CA,2022-04-03 17:57:27,48.6499,-53.1147,37.42,81,99,15.17
154,Ouadda,CF,2022-04-03 17:57:28,8.0777,22.4007,75.49,65,100,3.58
155,Ponta Do Sol,PT,2022-04-03 17:57:28,32.6667,-17.1,61.72,81,100,14.79
156,Hasaki,JP,2022-04-03 17:57:28,35.7333,140.8333,48.6,69,100,19.77
157,Mucurici,BR,2022-04-03 17:57:29,-18.0933,-40.5158,88.7,40,30,8.63
158,Saint-Pierre,RE,2022-04-03 17:57:29,-21.3393,55.4781,74.88,88,100,3.44
159,Isangel,VU,2022-04-03 17:57:30,-19.55,169.2667,79.63,85,100,7.2
160,Codrington,AU,2022-04-03 17:57:30,-38.2667,141.9667,58.41,87,95,5.55
161,Padang,ID,2022-04-03 17:57:30,-0.9492,100.3543,76.64,86,46,3.78
162,Vanimo,PG,2022-04-03 17:57:30,-2.6741,141.3028,78.04,87,99,2.86
163,San Vicente,AR,2022-04-03 17:57:31,-26.6167,-54.1333,82.72,48,83,6.55
164,Ovalle,CL,2022-04-03 17:57:32,-30.5983,-71.2003,80.56,31,2,6.02
165,Tasiilaq,GL,2022-04-03 17:57:32,65.6145,-37.6368,25.43,88,100,4.03
166,Kingsland,US,2022-04-03 17:57:32,30.8,-81.6898,76.98,43,0,6.42
