City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
75,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,
76,Avarua,CK,77.05,few clouds,-21.2078,-159.775,
77,Belyy Yar,RU,36.86,scattered clouds,53.6039,91.3903,
78,Yellowknife,CA,19.42,broken clouds,62.456,-114.3525,
79,Halifax,CA,51.69,overcast clouds,44.6453,-63.5724,
80,Arraial Do Cabo,BR,82.36,scattered clouds,-22.9661,-42.0278,
81,Arman,RU,3.47,few clouds,59.7,150.1667,
83,Moba,CN,43.0,overcast clouds,33.2288,105.0179,
84,Roswell,US,70.5,clear sky,34.0232,-84.3616,
85,Talnakh,RU,0.72,overcast clouds,69.4865,88.3972,
86,Gornopravdinsk,RU,33.04,light snow,60.05,69.9,
87,Zaranj,AF,69.76,clear sky,30.9667,61.8833,
88,Aykhal,RU,5.04,overcast clouds,66.0,111.5,
89,Georgetown,MY,78.73,few clouds,5.4112,100.3354,
90,Tasiilaq,GL,30.36,overcast clouds,65.6145,-37.6368,
91,Hobart,AU,57.06,overcast clouds,-42.8794,147.3294,
92,Lebu,CL,57.34,clear sky,-37.6167,-73.65,
93,Castro,BR,73.6,broken clouds,-24.7911,-50.0119,
94,Khash,IR,68.97,clear sky,28.2211,61.2158,
95,Carnarvon,AU,77.07,scattered clouds,-24.8667,113.6333,
96,Butaritari,KI,81.21,overcast clouds,3.0707,172.7902,
97,Grindavik,IS,41.47,broken clouds,63.8424,-22.4338,
98,Namatanai,PG,78.39,light rain,-3.6667,152.4333,
99,Kargasok,RU,20.16,overcast clouds,59.0556,80.8572,
100,Faya,SA,66.31,broken clouds,18.3851,42.4509,
101,Krasnokamensk,RU,30.67,broken clouds,50.0979,118.0369,
102,Moron,AR,71.06,overcast clouds,-34.6534,-58.6198,
103,Qaanaaq,GL,14.76,overcast clouds,77.484,-69.3632,
104,Oriximina,BR,78.39,overcast clouds,-1.7656,-55.8661,
105,Dangriga,BZ,83.57,clear sky,16.9692,-88.2321,
106,Bethel,US,43.02,light rain,41.3712,-73.414,
108,Hope,US,78.85,clear sky,33.6671,-93.5916,
109,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,
110,Begowal,IN,72.95,clear sky,31.6167,75.5167,
